frame,t,ms,fps,draws,uniforms,lookups,vao,tex,dcTerrain,dcObjects,dcHUD,camx,camy,camz,yaw,phase
1,0.000,35.669,28.0,20631,91463,58,20592,16151,0,0,43,30.00,16.50,18.00,0.0,idle_spawn
2,0.036,31.363,31.9,20639,91482,0,20600,16153,0,0,43,30.00,16.50,18.00,0.9,idle_spawn
3,0.067,30.463,32.8,20617,91390,0,20578,16146,0,0,43,30.00,16.50,18.00,1.6,idle_spawn
4,0.098,29.685,33.7,20591,91291,0,20552,16142,0,0,43,30.00,16.50,18.00,2.3,idle_spawn
5,0.127,29.057,34.4,20570,91198,0,20531,16130,0,0,43,30.00,16.50,18.00,3.1,idle_spawn
6,0.156,28.885,34.6,20555,91123,0,20516,16118,0,0,43,30.00,16.50,18.00,3.8,idle_spawn
7,0.185,35.210,28.4,20519,90942,0,20480,16087,0,0,43,30.00,16.50,18.00,4.4,idle_spawn
8,0.220,41.842,23.9,20506,90876,0,20467,16079,0,0,43,30.00,16.50,18.00,5.3,idle_spawn
9,0.262,35.394,28.3,20487,90800,0,20448,16085,0,0,43,30.00,16.50,18.00,6.3,idle_spawn
10,0.298,37.958,26.3,20408,90420,0,20369,16024,0,0,43,30.00,16.50,18.00,7.1,idle_spawn
11,0.336,39.039,25.6,20350,90147,0,20311,15986,0,0,43,30.00,16.50,18.00,8.1,idle_spawn
12,0.375,36.440,27.4,20292,89875,0,20253,15943,0,0,43,30.00,16.50,18.00,9.0,idle_spawn
13,0.411,31.890,31.4,20246,89648,0,20207,15897,0,0,43,30.00,16.50,18.00,9.9,idle_spawn
14,0.443,36.771,27.2,20201,89426,0,20162,15858,0,0,43,30.00,16.50,18.00,10.6,idle_spawn
15,0.480,31.276,32.0,20131,89075,0,20092,15799,0,0,43,30.00,16.50,18.00,11.5,idle_spawn
16,0.511,44.107,22.7,20075,88792,0,20036,15755,0,0,43,30.00,16.50,18.00,12.3,idle_spawn
17,0.555,31.386,31.9,20001,88406,0,19962,15686,0,0,43,30.00,16.50,18.00,13.3,idle_spawn
18,0.587,31.007,32.3,19949,88147,0,19910,15641,0,0,43,30.00,16.50,18.00,14.1,idle_spawn
