frame,t,ms,fps,draws,uniforms,lookups,vao,tex,dcTerrain,dcObjects,dcHUD,camx,camy,camz,yaw,phase
48,1.327,25.726,38.9,16697,71811,0,16658,12418,16283,303,43,30.00,16.50,18.00,31.8,idle_spawn
49,1.353,25.807,38.7,16712,71872,0,16673,12427,16294,307,43,30.00,16.50,18.00,32.5,idle_spawn
50,1.378,28.529,35.1,16724,71937,0,16685,12438,16306,307,43,30.00,16.50,18.00,33.1,idle_spawn
51,1.407,30.226,33.1,16748,72059,0,16709,12461,16330,307,43,30.00,16.50,18.00,33.8,idle_spawn
52,1.437,31.377,31.9,16763,72126,0,16724,12474,16345,307,43,30.00,16.50,18.00,34.5,idle_spawn
53,1.469,27.143,36.8,16790,72259,0,16751,12499,16372,307,43,30.00,16.50,18.00,35.2,idle_spawn
54,1.496,37.869,26.4,16811,72350,0,16772,12518,16393,307,43,30.00,16.50,18.00,35.9,idle_spawn
55,1.534,33.160,30.2,16824,72419,0,16785,12529,16406,307,43,30.00,16.50,18.00,36.8,idle_spawn
56,1.567,26.034,38.4,16861,72605,0,16822,12568,16447,303,43,30.00,16.50,18.00,37.6,idle_spawn
57,1.593,25.595,39.1,16880,72673,0,16841,12580,16462,307,43,30.00,16.50,18.00,38.2,idle_spawn
58,1.618,25.953,38.5,16900,72763,0,16861,12599,16482,307,43,30.00,16.50,18.00,38.8,idle_spawn
59,1.644,26.023,38.4,16924,72881,0,16885,12621,16506,307,43,30.00,16.50,18.00,39.5,idle_spawn
60,1.670,28.346,35.3,16945,72973,0,16906,12641,16527,307,43,30.00,16.50,18.00,40.1,idle_spawn
61,1.699,32.014,31.2,16959,73043,0,16920,12655,16541,307,43,30.00,16.50,18.00,40.8,idle_spawn
62,1.731,26.004,38.5,16987,73175,0,16948,12681,16569,307,43,30.00,16.50,18.00,41.5,idle_spawn
63,1.757,26.138,38.3,17006,73270,0,16967,12700,16588,307,43,30.00,16.50,18.00,42.2,idle_spawn
64,1.783,26.403,37.9,17026,73366,0,16987,12719,16608,307,43,30.00,16.50,18.00,42.8,idle_spawn
65,1.809,26.216,38.1,17042,73451,0,17003,12734,16624,307,43,30.00,16.50,18.00,43.4,idle_spawn
66,1.836,42.878,23.3,17060,73544,0,17021,12752,16642,307,43,30.00,16.50,18.00,44.1,idle_spawn
67,1.879,32.480,30.8,17086,73685,0,17047,12777,16668,307,43,30.00,16.50,18.00,45.1,idle_spawn
68,1.911,32.350,30.9,17113,73825,0,17074,12803,16695,307,43,30.00,16.50,18.00,45.9,idle_spawn
69,1.943,26.152,38.2,17138,73955,0,17099,12827,16720,307,43,30.00,16.50,18.00,46.6,idle_spawn
70,1.970,26.174,38.2,17157,74065,0,17118,12850,16743,303,43,30.00,16.50,18.00,47.3,idle_spawn
71,1.996,30.840,32.4,17176,74164,0,17137,12867,16762,303,43,30.00,16.50,18.00,47.9,idle_spawn
72,2.027,26.707,37.4,17188,74229,0,17149,12878,16774,303,43,30.00,16.50,18.00,48.6,idle_spawn
73,2.053,26.377,37.9,17216,74369,0,17177,12906,16802,303,43,30.00,16.50,18.00,49.3,idle_spawn
74,2.080,26.675,37.5,17232,74452,0,17193,12922,16818,303,43,30.00,16.50,18.00,49.9,idle_spawn
75,2.106,29.062,34.4,17255,74573,0,17216,12945,16841,303,43,30.00,16.50,18.00,50.6,idle_spawn
76,2.135,32.835,30.5,17269,74652,0,17230,12959,16855,303,43,30.00,16.50,18.00,51.2,idle_spawn
77,2.168,26.352,37.9,17295,74787,0,17256,12984,16881,303,43,30.00,16.50,18.00,52.0,idle_spawn
78,2.195,27.185,36.8,17309,74850,0,17270,12997,16895,303,43,30.00,16.50,18.00,52.7,idle_spawn
79,2.222,29.597,33.8,17360,75111,0,17321,13048,16946,303,43,30.00,16.50,18.00,53.3,idle_spawn
80,2.251,26.151,38.2,17337,74996,0,17298,13025,16923,303,43,30.00,16.50,18.00,54.0,idle_spawn
81,2.278,26.471,37.8,17376,75185,0,17337,13064,16962,303,43,30.00,16.50,18.00,54.7,idle_spawn
82,2.304,26.616,37.6,17397,75290,0,17358,13085,16983,303,43,30.00,16.50,18.00,55.3,idle_spawn
83,2.331,29.589,33.8,17416,75379,0,17377,13104,17002,303,43,30.00,16.50,18.00,55.9,idle_spawn
84,2.360,32.449,30.8,17435,75474,0,17396,13123,17021,303,43,30.00,16.50,18.00,56.6,idle_spawn
85,2.393,26.788,37.3,17464,75612,0,17425,13151,17050,303,43,30.00,16.50,18.00,57.4,idle_spawn
86,2.420,26.697,37.5,17487,75715,0,17448,13174,17073,303,43,30.00,16.50,18.00,58.1,idle_spawn
87,2.446,31.100,32.2,17518,75852,0,17479,13197,17096,311,43,30.00,16.50,18.00,58.7,idle_spawn
88,2.477,29.395,34.0,17544,75976,0,17505,13219,17118,315,43,30.00,16.50,18.00,59.5,idle_spawn
89,2.507,30.615,32.7,17580,76163,0,17541,13253,17154,315,43,30.00,16.50,18.00,60.2,idle_spawn
90,2.537,27.877,35.9,17592,76227,0,17553,13266,17166,315,43,30.00,16.50,18.00,60.9,idle_spawn
91,2.565,32.449,30.8,17609,76315,0,17570,13283,17183,315,43,30.00,16.50,18.00,61.6,idle_spawn
92,2.598,26.702,37.5,17639,76459,0,17600,13313,17213,315,43,30.00,16.50,18.00,62.3,idle_spawn
93,2.624,27.038,37.0,17653,76526,0,17614,13327,17227,315,43,30.00,16.50,18.00,63.0,idle_spawn
94,2.651,27.527,36.3,17679,76668,0,17640,13353,17253,315,43,30.00,16.50,18.00,63.6,idle_spawn
95,2.679,30.131,33.2,17688,76716,0,17649,13362,17262,315,43,30.00,16.50,18.00,64.3,idle_spawn
96,2.709,27.204,36.8,17706,76815,0,17667,13380,17280,315,43,30.00,16.50,18.00,65.0,idle_spawn
97,2.736,26.747,37.4,17702,76798,0,17663,13376,17276,315,43,30.00,16.50,18.00,65.7,idle_spawn
98,2.763,27.358,36.6,17765,77119,0,17726,13439,17339,315,43,30.00,16.50,18.00,66.3,idle_spawn
99,2.791,33.305,30.0,17716,76870,0,17677,13389,17290,315,43,30.00,16.50,18.00,67.0,idle_spawn
100,2.824,31.841,31.4,17746,77023,0,17707,13419,17320,315,43,30.00,16.50,18.00,67.8,idle_spawn
101,2.856,38.744,25.8,17760,77105,0,17721,13433,17334,315,43,30.00,16.50,18.00,68.5,idle_spawn
102,2.894,28.432,35.2,17770,77155,0,17731,13443,17344,315,43,30.00,16.50,18.00,69.5,idle_spawn
103,2.923,26.812,37.3,17782,77209,0,17743,13455,17356,315,43,30.00,16.50,18.00,70.1,idle_spawn
104,2.950,27.023,37.0,17785,77223,0,17746,13460,17359,315,43,30.00,16.50,18.00,70.8,idle_spawn
105,2.977,27.048,37.0,17802,77309,0,17763,13478,17376,315,43,30.00,16.50,18.00,71.4,idle_spawn
106,3.004,35.226,28.4,17808,77342,0,17769,13484,17382,315,43,30.00,16.50,18.00,72.1,idle_spawn
107,3.039,27.334,36.6,17820,77402,0,17781,13496,17394,315,43,30.00,16.50,18.00,72.9,idle_spawn
108,3.066,27.071,36.9,17835,77480,0,17796,13511,17409,315,43,30.00,16.50,18.00,73.6,idle_spawn
109,3.093,35.559,28.1,17845,77531,0,17806,13522,17419,315,43,30.00,16.50,18.00,74.2,idle_spawn
110,3.129,35.409,28.2,17855,77587,0,17816,13536,17433,311,43,30.00,16.50,18.00,75.1,idle_spawn
111,3.164,29.464,33.9,17872,77660,0,17833,13553,17450,311,43,30.00,16.50,18.00,75.9,idle_spawn
112,3.194,27.483,36.4,17886,77726,0,17847,13565,17460,315,43,30.00,16.50,18.00,76.7,idle_spawn
113,3.221,33.938,29.5,17891,77757,0,17852,13570,17465,315,43,30.00,16.50,18.00,77.3,idle_spawn
114,3.255,27.376,36.5,17912,77869,0,17873,13592,17486,315,43,30.00,16.50,18.00,78.1,idle_spawn
115,3.283,27.348,36.6,17927,77949,0,17888,13609,17501,315,43,30.00,16.50,18.00,78.8,idle_spawn
116,3.310,27.409,36.5,17939,78016,0,17900,13622,17513,315,43,30.00,16.50,18.00,79.4,idle_spawn
117,3.337,27.719,36.1,17953,78089,0,17914,13636,17527,315,43,30.00,16.50,18.00,80.1,idle_spawn
118,3.365,27.314,36.6,17971,78183,0,17932,13655,17545,315,43,30.00,16.50,18.00,80.8,idle_spawn
119,3.393,27.506,36.4,17985,78260,0,17946,13670,17559,315,43,30.00,16.50,18.00,81.4,idle_spawn
120,3.420,27.503,36.4,17998,78332,0,17959,13684,17572,315,43,30.00,16.50,18.00,82.1,idle_spawn
121,3.448,34.304,29.2,18006,78378,0,17967,13695,17580,315,43,30.00,16.50,18.00,82.7,idle_spawn
122,3.482,27.777,36.0,18030,78503,0,17991,13721,17604,315,43,30.00,16.50,18.00,83.6,idle_spawn
123,3.510,30.448,32.8,18031,78511,0,17992,13725,17605,315,43,30.00,16.50,18.00,84.2,idle_spawn
124,3.540,28.125,35.6,18043,78590,0,18004,13742,17621,311,43,30.00,16.50,18.00,85.0,idle_spawn
125,3.568,28.032,35.7,18057,78653,0,18018,13758,17635,311,43,30.00,16.50,18.00,85.6,idle_spawn
126,3.596,29.976,33.4,18056,78650,0,18017,13759,17634,311,43,30.00,16.50,18.00,86.3,idle_spawn
127,3.626,27.603,36.2,18066,78702,0,18027,13771,17644,311,43,30.00,16.50,18.00,87.0,idle_spawn
128,3.654,34.097,29.3,18059,78654,0,18020,13766,17637,311,43,30.00,16.50,18.00,87.7,idle_spawn
129,3.688,28.620,34.9,18070,78712,0,18031,13777,17648,311,43,30.00,16.50,18.00,88.5,idle_spawn
130,3.717,28.587,35.0,18073,78728,0,18034,13781,17651,311,43,30.00,16.50,18.00,89.2,idle_spawn
131,3.745,28.089,35.6,18056,78644,0,18017,13765,17634,311,43,30.00,16.50,18.00,89.9,idle_spawn
132,3.773,31.629,31.6,18054,78640,0,18015,13763,17632,311,43,30.00,16.50,18.00,90.6,idle_spawn
133,3.805,36.195,27.6,18057,78660,0,18018,13768,17635,311,43,30.00,16.50,18.00,91.3,idle_spawn
134,3.841,36.031,27.8,18028,78525,0,17989,13749,17606,311,43,30.00,16.50,18.00,92.2,idle_spawn
135,3.877,42.061,23.8,18021,78492,0,17982,13747,17599,311,43,30.00,16.50,18.00,93.1,idle_spawn
136,3.919,36.136,27.7,18004,78400,0,17965,13732,17582,311,43,30.00,16.50,18.00,94.1,idle_spawn
137,3.955,34.361,29.1,17985,78304,0,17946,13715,17563,311,43,30.00,16.50,18.00,94.9,idle_spawn
138,3.990,26.527,37.7,17968,78218,0,17929,13700,17546,311,43,30.00,16.50,18.00,95.8,idle_spawn
139,4.016,26.145,38.2,17938,78070,0,17899,13672,17516,311,43,30.00,16.50,18.00,96.4,idle_spawn
140,4.042,26.859,37.2,17929,78028,0,17890,13666,17507,311,43,30.00,16.50,18.00,97.0,idle_spawn
141,4.069,27.722,36.1,17911,77939,0,17872,13649,17489,311,43,30.00,16.50,18.00,97.7,idle_spawn
142,4.097,34.161,29.3,17885,77811,0,17846,13628,17463,311,43,30.00,16.50,18.00,98.3,idle_spawn
143,4.131,32.310,31.0,17863,77704,0,17824,13609,17441,311,43,30.00,16.50,18.00,99.1,idle_spawn
144,4.164,36.346,27.5,17831,77553,0,17792,13583,17409,311,43,30.00,16.50,18.00,99.9,idle_spawn
145,4.200,29.456,33.9,17807,77438,0,17768,13561,17385,311,43,30.00,16.50,18.00,100.8,idle_spawn
146,4.229,35.872,27.9,17781,77315,0,17742,13539,17359,311,43,30.00,16.50,18.00,101.5,idle_spawn
147,4.265,32.720,30.6,17762,77211,0,17723,13522,17336,315,43,30.00,16.50,18.00,102.4,idle_spawn
148,4.298,31.750,31.5,17741,77089,0,17702,13501,17311,319,43,30.00,16.50,18.00,103.2,idle_spawn
149,4.330,25.626,39.0,17708,76928,0,17669,13472,17278,319,43,30.00,16.50,18.00,103.9,idle_spawn
150,4.355,26.061,38.4,17686,76836,0,17647,13460,17260,315,43,30.00,16.50,18.00,104.5,idle_spawn
151,4.381,26.465,37.8,17670,76752,0,17631,13446,17244,315,43,30.00,16.50,18.00,105.2,idle_spawn
152,4.408,30.131,33.2,17655,76687,0,17616,13435,17229,315,43,30.00,16.50,18.00,105.8,idle_spawn
153,4.438,27.492,36.4,17638,76610,0,17599,13423,17212,315,43,30.00,16.50,18.00,106.5,idle_spawn
154,4.466,27.357,36.6,17628,76569,0,17589,13416,17202,315,43,30.00,16.50,18.00,107.2,idle_spawn
155,4.493,28.106,35.6,17622,76555,0,17583,13414,17196,315,43,30.00,16.50,18.00,107.8,idle_spawn
156,4.521,33.509,29.8,17605,76475,0,17566,13405,17179,315,43,30.00,16.50,18.00,108.5,idle_spawn
157,4.555,27.124,36.9,17602,76458,0,17563,13403,17176,315,43,30.00,16.50,18.00,109.3,idle_spawn
158,4.582,27.697,36.1,17590,76414,0,17551,13398,17164,315,43,30.00,16.50,18.00,110.0,idle_spawn
159,4.609,27.111,36.9,17577,76337,0,17538,13388,17151,315,43,30.00,16.50,18.00,110.6,idle_spawn
160,4.637,26.773,37.4,17578,76345,0,17539,13392,17152,315,43,30.00,16.50,18.00,111.3,idle_spawn
161,4.663,28.034,35.7,17580,76356,0,17541,13401,17154,315,43,30.00,16.50,18.00,111.9,idle_spawn
162,4.691,27.377,36.5,17572,76322,0,17533,13396,17146,315,43,30.00,16.50,18.00,112.6,idle_spawn
163,4.719,26.811,37.3,17561,76268,0,17522,13386,17135,315,43,30.00,16.50,18.00,113.2,idle_spawn
164,4.746,33.782,29.6,17616,76552,0,17577,13447,17190,315,43,30.00,16.50,18.00,113.9,idle_spawn
165,4.779,27.275,36.7,17622,76575,0,17583,13453,17196,315,43,30.00,16.50,18.00,114.7,idle_spawn
166,4.807,28.068,35.6,17650,76699,0,17611,13477,17220,319,43,30.00,16.50,18.00,115.4,idle_spawn
167,4.835,27.457,36.4,17667,76798,0,17628,13501,17241,315,43,30.00,16.50,18.00,116.0,idle_spawn
168,4.862,27.564,36.3,17694,76945,0,17655,13535,17272,311,43,30.00,16.50,18.00,116.7,idle_spawn
169,4.890,27.638,36.2,17719,77068,0,17680,13556,17297,311,43,30.00,16.50,18.00,117.4,idle_spawn
170,4.917,27.797,36.0,17712,77039,0,17673,13555,17290,311,43,30.00,16.50,18.00,118.0,idle_spawn
171,4.945,27.393,36.5,17717,77061,0,17678,13558,17295,311,43,30.00,16.50,18.00,118.7,idle_spawn
172,4.973,33.377,30.0,17733,77131,0,17694,13567,17311,311,43,30.00,16.50,18.00,119.3,idle_spawn
173,5.006,28.859,34.7,17745,77192,0,17706,13580,17323,311,43,30.00,16.50,18.00,120.1,idle_spawn
174,5.035,28.082,35.6,17717,77055,0,17678,13555,17295,311,43,30.00,16.50,18.00,120.8,idle_spawn
175,5.063,27.875,35.9,17683,76886,0,17644,13522,17261,311,43,30.00,16.50,18.00,121.5,idle_spawn
176,5.091,27.636,36.2,17651,76730,0,17612,13494,17229,311,43,30.00,16.50,18.00,122.2,idle_spawn
177,5.118,28.055,35.6,17609,76524,0,17570,13456,17187,311,43,30.00,16.50,18.00,122.8,idle_spawn
178,5.147,27.167,36.8,17578,76368,0,17539,13425,17156,311,43,30.00,16.50,18.00,123.5,idle_spawn
179,5.174,33.373,30.0,17553,76243,0,17514,13400,17131,311,43,30.00,16.50,18.00,124.2,idle_spawn
180,5.207,27.014,37.0,17507,76013,0,17468,13356,17085,311,43,30.00,16.50,18.00,125.0,idle_spawn
181,5.234,26.829,37.3,17480,75879,0,17441,13330,17058,311,43,30.00,16.50,18.00,125.6,idle_spawn
182,5.261,27.126,36.9,17433,75642,0,17394,13283,17011,311,43,30.00,16.50,18.00,126.3,idle_spawn
183,5.288,26.774,37.3,17413,75544,0,17374,13265,16991,311,43,30.00,16.50,18.00,126.9,idle_spawn
184,5.315,26.683,37.5,17380,75375,0,17341,13234,16958,311,43,30.00,16.50,18.00,127.6,idle_spawn
185,5.342,27.476,36.4,17348,75208,0,17309,13204,16926,311,43,30.00,16.50,18.00,128.2,idle_spawn
186,5.369,27.329,36.6,17320,75063,0,17281,13177,16898,311,43,30.00,16.50,18.00,128.9,idle_spawn
187,5.396,32.987,30.3,17282,74880,0,17243,13144,16864,307,43,30.00,16.50,18.00,129.5,idle_spawn
188,5.429,31.647,31.6,17249,74713,0,17210,13112,16831,307,43,30.00,16.50,18.00,130.3,idle_spawn
189,5.461,34.493,29.0,17192,74438,0,17153,13060,16778,303,43,30.00,16.50,18.00,131.1,idle_spawn
190,5.496,34.394,29.1,17164,74304,0,17125,13032,16750,303,43,30.00,16.50,18.00,131.9,idle_spawn
191,5.530,31.871,31.4,17128,74117,0,17089,12994,16710,307,43,30.00,16.50,18.00,132.7,idle_spawn
192,5.562,35.251,28.4,17092,73936,0,17053,12957,16674,307,43,30.00,16.50,18.00,133.5,idle_spawn
193,5.597,39.480,25.3,17062,73789,0,17023,12927,16644,307,43,30.00,16.50,18.00,134.3,idle_spawn
194,5.637,35.449,28.2,17056,73756,0,17017,12921,16638,307,43,30.00,16.50,18.00,135.3,idle_spawn
195,5.672,35.360,28.3,17079,73877,0,17040,12944,16661,307,43,30.00,16.50,18.00,136.1,idle_spawn
196,5.707,30.607,32.7,17097,73960,0,17058,12959,16679,307,43,30.00,16.50,18.00,137.0,idle_spawn
197,5.738,27.424,36.5,17097,73951,0,17058,12959,16679,307,43,30.00,16.50,18.00,137.7,idle_spawn
198,5.765,27.409,36.5,17097,73945,0,17058,12959,16679,307,43,30.00,16.50,18.00,138.4,idle_spawn
199,5.793,27.506,36.4,17099,73945,0,17060,12958,16681,307,43,30.00,16.50,18.00,139.0,idle_spawn
200,5.820,34.165,29.3,17098,73940,0,17059,12957,16680,307,43,30.00,16.50,18.00,139.7,idle_spawn
201,5.855,27.361,36.5,17086,73874,0,17047,12945,16668,307,43,30.00,16.50,18.00,140.5,idle_spawn
202,5.882,27.474,36.4,17083,73855,0,17044,12941,16665,307,43,30.00,16.50,18.00,141.2,idle_spawn
203,5.909,27.161,36.8,17072,73797,0,17033,12930,16654,307,43,30.00,16.50,18.00,141.8,idle_spawn
204,5.937,33.218,30.1,17073,73798,0,17034,12930,16655,307,43,30.00,16.50,18.00,142.5,idle_spawn
205,5.970,35.538,28.1,17078,73811,0,17039,12933,16660,307,43,30.00,16.50,18.00,143.3,idle_spawn
