frame,t,ms,fps,draws,uniforms,lookups,vao,tex,dcTerrain,dcObjects,dcHUD,camx,camy,camz,yaw,phase
60,0.957,16.800,59.5,16464,70701,0,16425,12252,0,0,43,30.00,16.50,18.00,23.0,boot
61,0.973,16.871,59.3,16483,70794,0,16444,12269,0,0,43,30.00,16.50,18.00,23.4,boot
62,0.990,16.255,61.5,16481,70783,0,16442,12266,0,0,43,30.00,16.50,18.00,23.8,boot
63,1.007,16.439,60.8,16488,70823,0,16449,12272,0,0,43,30.00,16.50,18.00,24.2,boot
64,1.023,17.765,56.3,16499,70876,0,16460,12281,0,0,43,30.00,16.50,18.00,24.6,boot
65,1.041,17.037,58.7,16500,70882,0,16461,12280,0,0,43,30.00,16.50,18.00,25.0,boot
66,1.058,16.201,61.7,16518,70973,0,16479,12296,0,0,43,30.00,16.50,18.00,25.4,boot
67,1.074,17.438,57.3,16517,70966,0,16478,12293,0,0,43,30.00,16.50,18.00,25.8,boot
68,1.092,16.712,59.8,16537,71066,0,16498,12310,0,0,43,30.00,16.50,18.00,26.2,boot
69,1.108,16.841,59.4,16538,71076,0,16499,12310,0,0,43,30.00,16.50,18.00,26.6,boot
70,1.125,16.594,60.3,16540,71104,0,16501,12318,0,0,43,30.00,16.50,18.00,27.0,boot
71,1.142,16.624,60.2,16552,71166,0,16513,12326,0,0,43,30.00,16.50,18.00,27.4,boot
72,1.158,17.167,58.3,16568,71250,0,16529,12340,0,0,43,30.00,16.50,18.00,27.8,boot
73,1.175,15.925,62.8,16581,71303,0,16542,12347,0,0,43,30.00,16.50,18.00,28.2,boot
74,1.191,16.664,60.0,16586,71328,0,16547,12349,0,0,43,30.00,16.50,18.00,28.6,boot
75,1.208,15.861,63.0,16595,71378,0,16556,12357,0,0,43,30.00,16.50,18.00,29.0,boot
76,1.224,17.284,57.9,16605,71429,0,16566,12365,0,0,43,30.00,16.50,18.00,29.4,boot
77,1.241,16.838,59.4,16636,71587,0,16597,12396,0,0,43,30.00,16.50,18.00,29.8,boot
78,1.258,19.416,51.5,16638,71618,0,16599,12404,0,0,43,30.00,16.50,18.00,30.2,boot
79,1.278,40.684,24.6,16625,71556,0,16586,12391,0,0,43,30.00,16.50,18.00,30.7,boot
80,1.318,20.057,49.9,16654,71699,0,16615,12412,0,0,43,30.00,16.50,18.00,31.6,boot
81,1.338,8.752,114.3,16662,71742,0,16623,12417,0,0,43,30.00,16.50,18.00,32.1,boot
82,1.347,8.820,113.4,16666,71762,0,16627,12421,0,0,43,30.00,16.50,18.00,32.3,boot
83,1.356,9.629,103.9,16675,71806,0,16636,12429,0,0,43,30.00,16.50,18.00,32.5,boot
84,1.366,13.471,74.2,16685,71859,0,16646,12439,0,0,43,30.00,16.50,18.00,32.8,boot
85,1.379,17.883,55.9,16685,71861,0,16646,12438,0,0,43,30.00,16.50,18.00,33.1,boot
86,1.397,11.518,86.8,16703,71953,0,16664,12455,0,0,43,30.00,16.50,18.00,33.5,boot
87,1.408,19.709,50.7,16717,72005,0,16678,12463,0,0,43,30.00,16.50,18.00,33.8,boot
88,1.428,13.144,76.1,16728,72053,0,16689,12473,0,0,43,30.00,16.50,18.00,34.3,boot
89,1.441,15.918,62.8,16733,72074,0,16694,12477,0,0,43,30.00,16.50,18.00,34.6,boot
90,1.457,17.431,57.4,16748,72148,0,16709,12491,0,0,43,30.00,16.50,18.00,35.0,boot
91,1.475,16.125,62.0,16761,72215,0,16722,12503,0,0,43,30.00,16.50,18.00,35.4,boot
92,1.491,16.317,61.3,16773,72267,0,16734,12513,0,0,43,30.00,16.50,18.00,35.8,boot
93,1.507,16.919,59.1,16771,72256,0,16732,12510,0,0,43,30.00,16.50,18.00,36.2,boot
94,1.524,16.780,59.6,16817,72470,0,16778,12549,0,0,43,30.00,16.50,18.00,36.6,boot
95,1.541,18.053,55.4,16811,72435,0,16772,12541,0,0,43,30.00,16.50,18.00,37.0,boot
96,1.559,15.212,65.7,16824,72491,0,16785,12554,0,0,43,30.00,16.50,18.00,37.4,boot
97,1.574,17.037,58.7,16842,72577,0,16803,12571,0,0,43,30.00,16.50,18.00,37.8,boot
98,1.591,16.458,60.8,16850,72606,0,16811,12577,0,0,43,30.00,16.50,18.00,38.2,boot
99,1.608,16.244,61.6,16865,72675,0,16826,12592,0,0,43,30.00,16.50,18.00,38.6,boot
100,1.624,17.709,56.5,16882,72759,0,16843,12608,0,0,43,30.00,16.50,18.00,39.0,boot
101,1.642,16.166,61.9,16891,72799,0,16852,12615,0,0,43,30.00,16.50,18.00,39.4,boot
102,1.658,17.415,57.4,16906,72868,0,16867,12630,0,0,43,30.00,16.50,18.00,39.8,boot
103,1.675,17.290,57.8,16912,72894,0,16873,12635,0,0,43,30.00,16.50,18.00,40.2,boot
104,1.692,17.293,57.8,16932,72994,0,16893,12655,0,0,43,30.00,16.50,18.00,40.6,boot
105,1.710,14.087,71.0,16940,73028,0,16901,12663,0,0,43,30.00,16.50,18.00,41.0,boot
106,1.724,16.106,62.1,16951,73078,0,16912,12672,0,0,43,30.00,16.50,18.00,41.4,boot
107,1.740,17.096,58.5,16958,73131,0,16919,12685,0,0,43,30.00,16.50,18.00,41.8,boot
108,1.757,17.553,57.0,16971,73196,0,16932,12698,0,0,43,30.00,16.50,18.00,42.2,boot
109,1.775,16.226,61.6,16989,73282,0,16950,12715,0,0,43,30.00,16.50,18.00,42.6,boot
110,1.791,16.225,61.6,16996,73320,0,16957,12722,0,0,43,30.00,16.50,18.00,43.0,boot
111,1.807,17.401,57.5,17005,73367,0,16966,12730,0,0,43,30.00,16.50,18.00,43.4,boot
112,1.825,61.581,16.2,17026,73475,0,16987,12751,0,0,43,30.00,16.50,18.00,43.8,boot
113,1.886,10.553,94.8,17063,73670,0,17024,12786,0,0,43,30.00,16.50,18.00,45.3,boot
114,1.897,31.305,31.9,17069,73703,0,17030,12792,0,0,43,30.00,16.50,18.00,45.5,boot
115,1.928,9.905,101.0,17098,73853,0,17059,12820,0,0,43,30.00,16.50,18.00,46.3,boot
116,1.938,17.421,57.4,17101,73868,0,17062,12823,0,0,43,30.00,16.50,18.00,46.5,boot
117,1.955,16.561,60.4,17114,73939,0,17075,12836,0,0,43,30.00,16.50,18.00,46.9,boot
118,1.972,17.482,57.2,17117,73972,0,17078,12845,0,0,43,30.00,16.50,18.00,47.3,boot
119,1.989,15.668,63.8,17133,74054,0,17094,12860,0,0,43,30.00,16.50,18.00,47.7,boot
120,2.005,16.918,59.1,17142,74101,0,17103,12868,0,0,43,30.00,16.50,18.00,48.1,boot
121,2.022,16.445,60.8,17154,74163,0,17115,12879,0,0,43,30.00,16.50,18.00,48.5,boot
122,2.038,18.229,54.9,17171,74251,0,17132,12896,0,0,43,30.00,16.50,18.00,48.9,boot
123,2.057,15.781,63.4,17180,74299,0,17141,12905,0,0,43,30.00,16.50,18.00,49.4,boot
124,2.072,19.392,51.6,17196,74379,0,17157,12921,0,0,43,30.00,16.50,18.00,49.7,boot
125,2.092,20.928,47.8,17204,74422,0,17165,12929,0,0,43,30.00,16.50,18.00,50.2,boot
126,2.113,9.784,102.2,17218,74513,0,17179,12949,0,0,43,30.00,16.50,18.00,50.7,boot
127,2.123,16.086,62.2,17214,74496,0,17175,12945,0,0,43,30.00,16.50,18.00,50.9,boot
128,2.139,17.972,55.6,17236,74612,0,17197,12967,0,0,43,30.00,16.50,18.00,51.3,boot
129,2.157,18.616,53.7,17237,74616,0,17198,12967,0,0,43,30.00,16.50,18.00,51.8,boot
130,2.175,13.646,73.3,17263,74751,0,17224,12992,0,0,43,30.00,16.50,18.00,52.2,boot
131,2.189,19.376,51.6,17268,74776,0,17229,12997,0,0,43,30.00,16.50,18.00,52.5,boot
132,2.208,15.546,64.3,17286,74866,0,17247,13015,0,0,43,30.00,16.50,18.00,53.0,boot
133,2.224,18.528,54.0,17322,75043,0,17283,13051,0,0,43,30.00,16.50,18.00,53.4,boot
134,2.242,16.482,60.7,17273,74795,0,17234,13002,0,0,43,30.00,16.50,18.00,53.8,boot
135,2.259,15.660,63.9,17317,75021,0,17278,13046,0,0,43,30.00,16.50,18.00,54.2,boot
136,2.275,16.149,61.9,17335,75108,0,17296,13064,0,0,43,30.00,16.50,18.00,54.6,boot
137,2.291,16.558,60.4,17339,75125,0,17300,13068,0,0,43,30.00,16.50,18.00,55.0,boot
138,2.307,16.657,60.0,17361,75235,0,17322,13090,0,0,43,30.00,16.50,18.00,55.4,boot
139,2.324,16.751,59.7,17374,75294,0,17335,13103,0,0,43,30.00,16.50,18.00,55.8,boot
140,2.341,16.336,61.2,17386,75354,0,17347,13115,0,0,43,30.00,16.50,18.00,56.2,boot
141,2.357,19.247,52.0,17390,75374,0,17351,13119,0,0,43,30.00,16.50,18.00,56.6,boot
142,2.376,14.405,69.4,17411,75475,0,17372,13139,0,0,43,30.00,16.50,18.00,57.0,boot
143,2.391,16.686,59.9,17420,75517,0,17381,13148,0,0,43,30.00,16.50,18.00,57.4,boot
144,2.407,16.409,60.9,17431,75569,0,17392,13159,0,0,43,30.00,16.50,18.00,57.8,boot
145,2.424,17.248,58.0,17446,75635,0,17407,13174,0,0,43,30.00,16.50,18.00,58.2,boot
146,2.441,16.127,62.0,17464,75731,0,17425,13192,0,0,43,30.00,16.50,18.00,58.6,boot
147,2.457,16.896,59.2,17474,75787,0,17435,13202,0,0,43,30.00,16.50,18.00,59.0,boot
148,2.474,17.400,57.5,17487,75852,0,17448,13215,0,0,43,30.00,16.50,18.00,59.4,boot
149,2.492,23.604,42.4,17514,75989,0,17475,13241,0,0,43,30.00,16.50,18.00,59.8,boot
150,2.515,18.929,52.8,17526,76054,0,17487,13252,0,0,43,30.00,16.50,18.00,60.4,boot
151,2.534,16.410,60.9,17537,76112,0,17498,13263,0,0,43,30.00,16.50,18.00,60.8,boot
152,2.551,9.396,106.4,17546,76158,0,17507,13273,0,0,43,30.00,16.50,18.00,61.2,boot
153,2.560,14.266,70.1,17555,76206,0,17516,13282,0,0,43,30.00,16.50,18.00,61.4,boot
154,2.574,16.654,60.0,17562,76238,0,17523,13289,0,0,43,30.00,16.50,18.00,61.8,boot
155,2.591,21.779,45.9,17577,76310,0,17538,13304,0,0,43,30.00,16.50,18.00,62.2,boot
156,2.613,15.102,66.2,17598,76412,0,17559,13325,0,0,43,30.00,16.50,18.00,62.7,boot
157,2.628,13.791,72.5,17604,76442,0,17565,13331,0,0,43,30.00,16.50,18.00,63.1,boot
158,2.642,24.118,41.5,17624,76554,0,17585,13351,0,0,43,30.00,16.50,18.00,63.4,boot
159,2.666,18.580,53.8,17630,76584,0,17591,13357,0,0,43,30.00,16.50,18.00,64.0,boot
160,2.684,9.790,102.1,17647,76675,0,17608,13374,0,0,43,30.00,16.50,18.00,64.4,boot
161,2.694,15.129,66.1,17649,76685,0,17610,13376,0,0,43,30.00,16.50,18.00,64.7,boot
162,2.709,35.205,28.4,17655,76721,0,17616,13382,0,0,43,30.00,16.50,18.00,65.0,boot
163,2.744,12.863,77.7,17657,76734,0,17618,13384,0,0,43,30.00,16.50,18.00,65.9,boot
164,2.757,17.048,58.7,17724,77075,0,17685,13451,0,0,43,30.00,16.50,18.00,66.2,boot
165,2.774,16.375,61.1,17692,76914,0,17653,13418,0,0,43,30.00,16.50,18.00,66.6,boot
166,2.791,17.325,57.7,17665,76776,0,17626,13391,0,0,43,30.00,16.50,18.00,67.0,boot
167,2.808,16.118,62.0,17707,76989,0,17668,13433,0,0,43,30.00,16.50,18.00,67.4,boot
168,2.824,23.753,42.1,17695,76929,0,17656,13421,0,0,43,30.00,16.50,18.00,67.8,boot
169,2.848,16.359,61.1,17719,77025,0,17680,13433,0,0,43,30.00,16.50,18.00,68.4,boot
170,2.864,16.677,60.0,17721,77035,0,17682,13435,0,0,43,30.00,16.50,18.00,68.7,boot
171,2.881,13.833,72.3,17739,77110,0,17700,13447,0,0,43,30.00,16.50,18.00,69.1,boot
172,2.895,12.765,78.3,17735,77087,0,17696,13443,0,0,43,30.00,16.50,18.00,69.5,boot
173,2.908,21.043,47.5,17742,77122,0,17703,13450,0,0,43,30.00,16.50,18.00,69.8,boot
174,2.929,12.189,82.0,17749,77148,0,17710,13457,0,0,43,30.00,16.50,18.00,70.3,boot
175,2.941,17.001,58.8,17755,77179,0,17716,13464,0,0,43,30.00,16.50,18.00,70.6,boot
176,2.958,15.685,63.8,17752,77165,0,17713,13462,0,0,43,30.00,16.50,18.00,71.0,boot
177,2.974,18.144,55.1,17766,77233,0,17727,13477,0,0,43,30.00,16.50,18.00,71.4,boot
178,2.992,15.463,64.7,17773,77274,0,17734,13484,0,0,43,30.00,16.50,18.00,71.8,boot
179,3.007,17.069,58.6,17777,77294,0,17738,13488,0,0,43,30.00,16.50,18.00,72.2,boot
180,3.024,16.516,60.5,17786,77342,0,17747,13497,0,0,43,30.00,16.50,18.00,72.6,boot
181,3.041,22.240,45.0,17790,77359,0,17751,13501,0,0,43,30.00,16.50,18.00,73.0,boot
182,3.063,12.542,79.7,17796,77392,0,17757,13507,0,0,43,30.00,16.50,18.00,73.5,boot
183,3.076,15.769,63.4,17804,77432,0,17765,13515,0,0,43,30.00,16.50,18.00,73.8,boot
184,3.091,16.343,61.2,17807,77448,0,17768,13519,0,0,43,30.00,16.50,18.00,74.2,boot
185,3.108,17.505,57.1,17814,77483,0,17775,13526,0,0,43,30.00,16.50,18.00,74.6,boot
186,3.125,17.686,56.5,17823,77522,0,17784,13535,0,0,43,30.00,16.50,18.00,75.0,boot
187,3.143,16.479,60.7,17831,77559,0,17792,13543,0,0,43,30.00,16.50,18.00,75.4,boot
188,3.160,17.142,58.3,17838,77585,0,17799,13550,0,0,43,30.00,16.50,18.00,75.8,boot
189,3.177,16.156,61.9,17842,77607,0,17803,13556,0,0,43,30.00,16.50,18.00,76.2,boot
190,3.193,14.915,67.0,17847,77635,0,17808,13561,0,0,43,30.00,16.50,18.00,76.6,boot
191,3.208,17.520,57.1,17869,77751,0,17830,13583,0,0,43,30.00,16.50,18.00,77.0,boot
192,3.225,16.967,58.9,17871,77767,0,17832,13585,0,0,43,30.00,16.50,18.00,77.4,boot
193,3.242,14.755,67.8,17876,77793,0,17837,13591,0,0,43,30.00,16.50,18.00,77.8,boot
