frame,t,ms,fps,draws,uniforms,lookups,vao,tex,dcTerrain,dcObjects,dcHUD,camx,camy,camz,yaw,phase
60,0.603,8.081,123.7,16296,69872,0,16257,12125,0,0,43,30.00,16.50,18.00,14.5,boot
61,0.611,8.544,117.0,16299,69883,0,16260,12127,0,0,43,30.00,16.50,18.00,14.7,boot
62,0.619,10.076,99.2,16305,69918,0,16266,12132,0,0,43,30.00,16.50,18.00,14.9,boot
63,0.629,8.689,115.1,16311,69950,0,16272,12137,0,0,43,30.00,16.50,18.00,15.1,boot
64,0.638,8.486,117.8,16315,69975,0,16276,12140,0,0,43,30.00,16.50,18.00,15.3,boot
65,0.647,8.731,114.5,16317,69988,0,16278,12142,0,0,43,30.00,16.50,18.00,15.5,boot
66,0.655,8.866,112.8,16318,69993,0,16279,12143,0,0,43,30.00,16.50,18.00,15.7,boot
67,0.664,9.293,107.6,16322,70014,0,16283,12145,0,0,43,30.00,16.50,18.00,15.9,boot
68,0.673,8.414,118.9,16327,70040,0,16288,12148,0,0,43,30.00,16.50,18.00,16.2,boot
69,0.682,8.644,115.7,16327,70040,0,16288,12148,0,0,43,30.00,16.50,18.00,16.4,boot
70,0.691,9.359,106.9,16334,70071,0,16295,12154,0,0,43,30.00,16.50,18.00,16.6,boot
71,0.700,8.449,118.4,16336,70082,0,16297,12154,0,0,43,30.00,16.50,18.00,16.8,boot
72,0.708,12.082,82.8,16334,70076,0,16295,12150,0,0,43,30.00,16.50,18.00,17.0,boot
73,0.720,8.585,116.5,16355,70179,0,16316,12169,0,0,43,30.00,16.50,18.00,17.3,boot
74,0.729,10.069,99.3,16352,70164,0,16313,12166,0,0,43,30.00,16.50,18.00,17.5,boot
75,0.739,8.895,112.4,16357,70188,0,16318,12170,0,0,43,30.00,16.50,18.00,17.7,boot
76,0.748,9.975,100.3,16362,70212,0,16323,12174,0,0,43,30.00,16.50,18.00,18.0,boot
77,0.758,8.849,113.0,16366,70230,0,16327,12176,0,0,43,30.00,16.50,18.00,18.2,boot
78,0.767,8.241,121.3,16365,70224,0,16326,12174,0,0,43,30.00,16.50,18.00,18.4,boot
79,0.775,8.568,116.7,16371,70254,0,16332,12180,0,0,43,30.00,16.50,18.00,18.6,boot
80,0.784,11.530,86.7,16380,70299,0,16341,12189,0,0,43,30.00,16.50,18.00,18.8,boot
81,0.795,9.643,103.7,16392,70356,0,16353,12198,0,0,43,30.00,16.50,18.00,19.1,boot
82,0.805,14.414,69.4,16387,70331,0,16348,12193,0,0,43,30.00,16.50,18.00,19.3,boot
83,0.819,10.472,95.5,16400,70394,0,16361,12204,0,0,43,30.00,16.50,18.00,19.7,boot
84,0.830,8.449,118.4,16400,70392,0,16361,12202,0,0,43,30.00,16.50,18.00,19.9,boot
85,0.838,8.305,120.4,16406,70421,0,16367,12207,0,0,43,30.00,16.50,18.00,20.1,boot
86,0.847,8.470,118.1,16411,70445,0,16372,12211,0,0,43,30.00,16.50,18.00,20.3,boot
87,0.855,8.677,115.2,16416,70470,0,16377,12216,0,0,43,30.00,16.50,18.00,20.5,boot
88,0.864,8.432,118.6,16422,70503,0,16383,12222,0,0,43,30.00,16.50,18.00,20.7,boot
89,0.872,8.150,122.7,16422,70501,0,16383,12220,0,0,43,30.00,16.50,18.00,20.9,boot
90,0.880,8.563,116.8,16427,70525,0,16388,12224,0,0,43,30.00,16.50,18.00,21.1,boot
91,0.889,8.666,115.4,16430,70540,0,16391,12227,0,0,43,30.00,16.50,18.00,21.3,boot
92,0.898,8.386,119.2,16435,70564,0,16396,12231,0,0,43,30.00,16.50,18.00,21.5,boot
93,0.906,8.132,123.0,16442,70597,0,16403,12236,0,0,43,30.00,16.50,18.00,21.7,boot
94,0.914,8.414,118.8,16444,70606,0,16405,12237,0,0,43,30.00,16.50,18.00,21.9,boot
95,0.923,8.894,112.4,16451,70641,0,16412,12244,0,0,43,30.00,16.50,18.00,22.1,boot
96,0.931,13.869,72.1,16451,70638,0,16412,12241,0,0,43,30.00,16.50,18.00,22.4,boot
97,0.945,10.862,92.1,16454,70670,0,16415,12249,0,0,43,30.00,16.50,18.00,22.7,boot
98,0.956,9.156,109.2,16459,70694,0,16420,12253,0,0,43,30.00,16.50,18.00,22.9,boot
99,0.965,8.306,120.4,16470,70747,0,16431,12262,0,0,43,30.00,16.50,18.00,23.2,boot
100,0.974,8.716,114.7,16477,70782,0,16438,12269,0,0,43,30.00,16.50,18.00,23.4,boot
101,0.982,8.684,115.2,16453,70661,0,16414,12244,0,0,43,30.00,16.50,18.00,23.6,boot
102,0.991,9.024,110.8,16476,70779,0,16437,12267,0,0,43,30.00,16.50,18.00,23.8,boot
103,1.000,8.387,119.2,16481,70803,0,16442,12271,0,0,43,30.00,16.50,18.00,24.0,boot
104,1.009,8.969,111.5,16483,70816,0,16444,12273,0,0,43,30.00,16.50,18.00,24.2,boot
105,1.018,8.396,119.1,16493,70864,0,16454,12281,0,0,43,30.00,16.50,18.00,24.4,boot
106,1.026,15.137,66.1,16492,70858,0,16453,12279,0,0,43,30.00,16.50,18.00,24.6,boot
107,1.041,9.147,109.3,16494,70870,0,16455,12280,0,0,43,30.00,16.50,18.00,25.0,boot
108,1.050,12.608,79.3,16503,70913,0,16464,12287,0,0,43,30.00,16.50,18.00,25.2,boot
109,1.063,12.220,81.8,16512,70961,0,16473,12296,0,0,43,30.00,16.50,18.00,25.5,boot
110,1.075,12.828,78.0,16512,70959,0,16473,12294,0,0,43,30.00,16.50,18.00,25.8,boot
111,1.088,12.486,80.1,16525,71025,0,16486,12305,0,0,43,30.00,16.50,18.00,26.1,boot
112,1.100,10.856,92.1,16538,71062,0,16499,12307,0,0,43,30.00,16.50,18.00,26.4,boot
113,1.111,8.403,119.0,16544,71094,0,16505,12312,0,0,43,30.00,16.50,18.00,26.7,boot
114,1.120,8.994,111.2,16549,71119,0,16510,12317,0,0,43,30.00,16.50,18.00,26.9,boot
115,1.129,7.921,126.2,16552,71137,0,16513,12320,0,0,43,30.00,16.50,18.00,27.1,boot
116,1.137,7.711,129.7,16558,71168,0,16519,12324,0,0,43,30.00,16.50,18.00,27.3,boot
117,1.144,7.799,128.2,16565,71204,0,16526,12329,0,0,43,30.00,16.50,18.00,27.5,boot
118,1.152,10.449,95.7,16567,71216,0,16528,12330,0,0,43,30.00,16.50,18.00,27.7,boot
119,1.163,12.731,78.5,16584,71282,0,16545,12340,0,0,43,30.00,16.50,18.00,27.9,boot
120,1.175,8.691,115.1,16590,71318,0,16551,12346,0,0,43,30.00,16.50,18.00,28.2,boot
121,1.184,7.794,128.3,16585,71311,0,16546,12347,0,0,43,30.00,16.50,18.00,28.4,boot
122,1.192,8.823,113.3,16589,71331,0,16550,12348,0,0,43,30.00,16.50,18.00,28.6,boot
123,1.201,7.727,129.4,16593,71353,0,16554,12351,0,0,43,30.00,16.50,18.00,28.8,boot
124,1.208,8.410,118.9,16599,71386,0,16560,12357,0,0,43,30.00,16.50,18.00,29.0,boot
125,1.217,7.985,125.2,16600,71391,0,16561,12358,0,0,43,30.00,16.50,18.00,29.2,boot
126,1.225,8.799,113.6,16609,71437,0,16570,12365,0,0,43,30.00,16.50,18.00,29.4,boot
127,1.234,10.306,97.0,16619,71487,0,16580,12375,0,0,43,30.00,16.50,18.00,29.6,boot
128,1.244,9.717,102.9,16645,71620,0,16606,12401,0,0,43,30.00,16.50,18.00,29.9,boot
129,1.254,14.538,68.8,16648,71638,0,16609,12404,0,0,43,30.00,16.50,18.00,30.1,boot
130,1.268,9.661,103.5,16637,71586,0,16598,12393,0,0,43,30.00,16.50,18.00,30.4,boot
131,1.278,8.822,113.4,16634,71571,0,16595,12390,0,0,43,30.00,16.50,18.00,30.7,boot
132,1.287,9.364,106.8,16634,71571,0,16595,12390,0,0,43,30.00,16.50,18.00,30.9,boot
133,1.296,8.410,118.9,16639,71593,0,16600,12392,0,0,43,30.00,16.50,18.00,31.1,boot
134,1.305,8.459,118.2,16645,71627,0,16606,12396,0,0,43,30.00,16.50,18.00,31.3,boot
135,1.313,8.501,117.6,16656,71680,0,16617,12405,0,0,43,30.00,16.50,18.00,31.5,boot
136,1.321,8.900,112.4,16664,71721,0,16625,12411,0,0,43,30.00,16.50,18.00,31.7,boot
137,1.330,8.867,112.8,16671,71758,0,16632,12417,0,0,43,30.00,16.50,18.00,31.9,boot
138,1.339,9.146,109.3,16675,71777,0,16636,12420,0,0,43,30.00,16.50,18.00,32.1,boot
139,1.348,17.181,58.2,16682,71812,0,16643,12427,0,0,43,30.00,16.50,18.00,32.4,boot
140,1.366,8.689,115.1,16695,71879,0,16656,12439,0,0,43,30.00,16.50,18.00,32.8,boot
141,1.374,10.070,99.3,16695,71881,0,16656,12438,0,0,43,30.00,16.50,18.00,33.0,boot
142,1.384,9.237,108.3,16699,71900,0,16660,12441,0,0,43,30.00,16.50,18.00,33.2,boot
143,1.394,10.745,93.1,16712,71968,0,16673,12454,0,0,43,30.00,16.50,18.00,33.4,boot
144,1.404,8.517,117.4,16723,72005,0,16684,12459,0,0,43,30.00,16.50,18.00,33.7,boot
145,1.413,8.572,116.7,16724,72007,0,16685,12460,0,0,43,30.00,16.50,18.00,33.9,boot
146,1.421,8.624,116.0,16727,72018,0,16688,12462,0,0,43,30.00,16.50,18.00,34.1,boot
147,1.430,8.589,116.4,16738,72073,0,16699,12473,0,0,43,30.00,16.50,18.00,34.3,boot
148,1.439,10.305,97.0,16740,72079,0,16701,12474,0,0,43,30.00,16.50,18.00,34.5,boot
149,1.449,8.630,115.9,16751,72136,0,16712,12484,0,0,43,30.00,16.50,18.00,34.8,boot
150,1.458,8.545,117.0,16757,72163,0,16718,12490,0,0,43,30.00,16.50,18.00,35.0,boot
151,1.466,8.616,116.1,16765,72205,0,16726,12497,0,0,43,30.00,16.50,18.00,35.2,boot
152,1.475,9.024,110.8,16771,72235,0,16732,12503,0,0,43,30.00,16.50,18.00,35.4,boot
153,1.484,8.979,111.4,16766,72224,0,16727,12503,0,0,43,30.00,16.50,18.00,35.6,boot
154,1.493,9.172,109.0,16783,72299,0,16744,12519,0,0,43,30.00,16.50,18.00,35.8,boot
155,1.502,8.571,116.7,16780,72287,0,16741,12516,0,0,43,30.00,16.50,18.00,36.0,boot
156,1.511,8.679,115.2,16780,72288,0,16741,12514,0,0,43,30.00,16.50,18.00,36.3,boot
157,1.519,8.359,119.6,16813,72453,0,16774,12547,0,0,43,30.00,16.50,18.00,36.5,boot
